Election,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,CENTRE,Feb-06,Lesly Manigat,RDNP,"13,164",12.9,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,CENTRE,Feb-06,Rene Preval,Lespwa,"38,110",37.3,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,CENTRE,Feb-06,Others,,"22,504",22,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,CENTRE,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,GRANDE ANSE,Feb-06,Paul Denis,OPL,"4,226",5.2,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,GRANDE ANSE,Feb-06,Serge Gilles,,"6,308",7.8,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,GRANDE ANSE,Feb-06,Jean Jeune,Union,"9,069",11.3,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,GRANDE ANSE,Feb-06,Lesly Manigat,RDNP,"5,891",7.3,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,GRANDE ANSE,Feb-06,Guy Philippe,FRN,"10,504",13.1,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,GRANDE ANSE,Feb-06,Rene Preval,Lespwa,"30,052",37.4,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,GRANDE ANSE,Feb-06,Others,,"14,386",17.9,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,GRANDE ANSE,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NIPPES,Feb-06,Paul Denis,OPL,"3,514",5.6,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NIPPES,Feb-06,Jean Jeune,Union,"8,734",14,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NIPPES,Feb-06,Lesly Manigat,RDNP,"7,614",12.2,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NIPPES,Feb-06,Rene Preval,Lespwa,"26,763",42.8,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NIPPES,Feb-06,Others,,"15,884",25.4,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NIPPES,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD,Feb-06,Charles Baker,Respe,"36,087",19.7,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD,Feb-06,Lesly Manigat,RDNP,"9,551",5.2,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD,Feb-06,Evans Paul,Alyans,"9,215",5,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD,Feb-06,Rene Preval,Lespwa,"88,561",48.5,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD,Feb-06,Others,,"39,374",21.5,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD EST,Feb-06,Charles Baker,Respe,"10,631",15.1,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD EST,Feb-06,Serge Gilles,,"5,589",8,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD EST,Feb-06,Lesly Manigat,RDNP,"3,773",5.4,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD EST,Feb-06,Evans Paul,Alyans,"6,706",9.5,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD EST,Feb-06,Guy Philippe,FRN,"4,599",6.5,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD EST,Feb-06,Rene Preval,Lespwa,"27,548",39.2,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD EST,Feb-06,Others,,"11,439",16.3,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD EST,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD OUEST,Feb-06,Charles Baker,Respe,"9,788",10,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD OUEST,Feb-06,Paul Denis,OPL,"6,034",6.2,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD OUEST,Feb-06,Luc Fleurinord,MIRN,"25,710",26.3,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD OUEST,Feb-06,Lesly Manigat,RDNP,"18,471",18.9,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD OUEST,Feb-06,Rene Preval,Lespwa,"22,592",23.1,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD OUEST,Feb-06,Others,,"15,315",15.6,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,NORD OUEST,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,OUEST,Feb-06,Charles Baker,Respe,"39,313",5,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,OUEST,Feb-06,Jean Jeune,Union,"40,335",5.2,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,OUEST,Feb-06,Lesly Manigat,RDNP,"111,575",14.3,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,OUEST,Feb-06,Rene Preval,Lespwa,"491,252",62.8,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,OUEST,Feb-06,Others,,"99,455",12.7,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,OUEST,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD,Feb-06,Charles Baker,Respe,"7,242",5.1,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD,Feb-06,Jean Jeune,Union,"36,375",25.7,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD,Feb-06,Lesly Manigat,RDNP,"11,794",8.3,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD,Feb-06,Rene Preval,Lespwa,"58,383",41.2,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD,Feb-06,Others,,"27,919",19.7,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD EST,Feb-06,Charles Baker,Respe,"8,752",8.9,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD EST,Feb-06,Paul Denis,OPL,"5,242",5.3,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD EST,Feb-06,Lesly Manigat,RDNP,"10,010",10.1,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD EST,Feb-06,Rene Preval,Lespwa,"53,186",53.8,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD EST,Feb-06,Others,,"21,666",21.9,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD EST,Feb-06,,,,,,,,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD EST,Feb-06,,,,,,,2006 legislative election,
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD EST,Feb-06,,,,,,,Senate,http://psephos.adam-carr.net/countries/h/haiti/haitisenate2006.txt
PRESIDENTIAL ELECTION OF VOTES BY DEPARTMENT,SUD EST,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,06-Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,YOURI LATORTUE,LAAA,"74,061",30.3,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,NOEL EMMANUEL LIMAGE,Lespwa,"53,891",22,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,FRANÇOIS FOUCHARD BERGROME,LAAA,"36,714",15,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,Revenel Benoit,Mochrenha,"30,108",12.3,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,Jean Willy Jean Baptiste,RDNP,"27,862",11.4,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,Sadrac Dieudonné,Mochrenha,"27,334",11.2,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,Jean Eddy Camant,Mochrenha,"19,762",8.1,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,Ernest Laventure Edouard,FRN,"16,149",6.6,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,Arnold Christian,OPL,"15,781",6.5,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,Michel Fortune,Pacapalah,"12,843",5.3,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,Ronald Deshommes,OPL,"12,793",5.2,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,Billy Racine,Fanmi Lavalas,"12,722",5.2,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,Others,,"144,974",29.9,,,,
LEGISLATIVE ELECTION OF SENATE,ARTIBONITE,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,ULTIMO COMPERE,Lespwa,"20,382",17.1,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,EDMONDE SUPPLICE,Fusion,"18,372",15.4,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,JEAN WILBERT JACQUES,Lespwa,"16,531",13.9,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,Ecclésiaste Telemaque,Fusion,"14,625",12.3,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,Gilbert Augustin,Konba,"13,548",11.4,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,Mona Bernadeau,Konba,"12,953",10.9,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,Nesly Phelle,Konba,"11,066",9.3,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,Walner Joseph,Fusion,"10,613",8.9,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,Rubens St. Germain,Modereh,"9,948",8.3,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,Marino Etienne,Alyans,"7,610",6.4,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,Jean Bayard Bien-Aime,FRN,"7,540",6.3,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,Micheles Louis Jeune,MPH,"7,205",6.1,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,Others,,"70,289",31.9,,,,
LEGISLATIVE ELECTION OF SENATE,CENTRE,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,MICHEL CLERIÉ,Fusion,"27,246",29.4,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,ANDRIS RICHÉ,OPL,"16,647",18,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,JEAN MAXIME ROUMER,Lespwa,"13,685",14.8,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Jean Fleurant Robert,Lespwa,"13,212",14.3,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Louis-Jean Divers,Union,"12,186",13.2,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Frederic Cheron,FRN,"10,919",11.8,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Jean Lavaud Frederick,Fusion,"10,029",10.8,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Marie Aurore Lainé,Fusion,"8,987",9.7,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Anouce Bernard,FRN,"7,894",8.5,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Léon Ronsard Saint-Cyr,Modereh,"7,683",8.3,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Arthur Papillon,OPL,"7,347",7.9,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Saint-Louis Jean,Union,"5,624",6.1,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Marie Edna Edmond,JPDN,"5,212",5.6,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,Others,,"39,127",21.1,,,,
LEGISLATIVE ELECTION OF SENATE,GRAND ANSE,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,CHERIMOND SAINT JULIEN,Lespwa,"13,306",18,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,NENEL CASSY,Lespwa,"12,902",17.5,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,JEAN JOSEPH PIERRE LOUIS,OPL,"11,123",15.1,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Jacob Anglade,Lespwa,"9,650",13.1,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Huguette Lamour,Fusion,"9,307",12.6,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Vital Dessources,Union,"8,788",11.9,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Joseph Garry Mazil,Alyans,"8,389",11.4,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Hugues Monplaisir Fequiere,Fusion,"8,085",11,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Osner Richard,Union,"7,299",9.9,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Garry Opont,OPL,"6,627",9,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Gardy Edouard Fils Leblanc,OPL,"5,402",7.3,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Wilfrid Tropnas,RDNP,"5,300",7.2,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Jean Claude Lebrun,Union,"5,043",6.8,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Zabulon Vilmond,Fusion,"4,620",6.3,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Onel Maignan,RDNP,"4,322",5.9,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Marcel Desir,FRN,"4,076",5.5,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Yves Kersaint,Alyans,"4,026",5.5,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,Others,,"16,954",11.7,,,,
LEGISLATIVE ELECTION OF SENATE,NIPPES,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,KELY BASTIEN,Lespwa,"62,688",31.6,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,ANTOINE RENÉ SAMSON,Lespwa,"49,433",24.9,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,CÉMÉPHISE GILLES,Lespwa,"49,281",24.8,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Marie Gislhaine Mompremier,Fusion,"28,546",14.4,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Elusca Charles,OPL,"16,402",8.3,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Carly Eugène,Lavalas,"16,214",8.2,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Milton Chery,OPL,"15,221",7.7,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Fritz Jules,Fusion,"14,960",7.5,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Weslé Lucien Pierre,OPL,"13,754",6.9,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Jackson Meluis Noel,Mochrenha,"12,064",6.1,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Jhonson Mésidor,Alyans,"11,373",5.7,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Esdras Cadet,Lavalas,"11,106",5.6,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Yvon Pierre,Mochrenha,"10,939",5.5,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,Others,,"96,039",23.5,,,,
LEGISLATIVE ELECTION OF SENATE,NORD,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,RUDOLPH H. BOULOS,Fusion,"37,599",46.1,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,PIERRE KARL CHARLES,Alyans,"13,458",16.5,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,JUDNEL JEAN,Fusion,"12,928",15.8,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,Moïse Trevol,Alyans,"11,582",14.2,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,Jn Rodolph Joazile,Pont,"11,349",13.9,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,Gabriel Metelus Fanmi,Lavalas,"9,153",11.2,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,Maurice Jean Gilles,Alyans,"7,560",9.3,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,Joachim Armand,OPL,"5,942",7.3,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,Frantz Daniel Pierre,Konba,"5,608",6.9,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,Amos Andre,Mochrenha,"4,475",5.5,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,Presuma Etienne,Konba,"4,264",5.2,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,Others,,"28,721",18.8,,,,
LEGISLATIVE ELECTION OF SENATE,NORD EST,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,EVALLIÈRE BEAUPLAN,Pont,24425,23,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,MÉLIUS HYPOLITE,OPL,21666,20.4,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,HENRY DESAMOURS,MIRN,20319,19.1,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Momprevil Saint Juste,MIRN,20266,19.1,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Eddy Bastien,Alliance,14350,13.5,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Odly Dubréus,MIRN,12358,11.6,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Charles Sartune,JPDN,10306,9.7,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Fresnel Stephen,RDNP,9094,8.6,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Lafrance Josué,JPDN,8821,8.3,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Jean Erice José,Lespwa,8046,7.6,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Jude Vildor,RDNP,7725,7.3,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Bertrand Choute,Lespwa,7647,7.2,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Berthony Henry,Lespwa,7361,6.9,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Joseph Léonard,Fusion,7267,6.8,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Jules Esaie,USH,5423,5.1,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,Others,,20971,10.2,,,,
LEGISLATIVE ELECTION OF SENATE,NORD OUEST,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,ANACACIS JEAN HECTOR,Lespwa,"312,564",39.1,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,MIRLANDE MANIGAT,RDNP,"271,680",34,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,EVELYNE CHERON,Lavalas,"85,040",10.6,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,Stanley Charles H. Theard,JPDN,"75,183",9.4,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,Marie Denise Claude,Fusion,"74,052",9.3,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,Luckner Desir,MPH,"71,229",8.9,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,Rudy Herivaux,Lavalas,"69,175",8.7,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,Maguy Durce,Alyans,"57,632",7.2,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,Daniel Supplice,PLH,"45,999",5.8,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,Phelito Doran,Lavalas,"44,531",5.6,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,Jean Sony Pierre,RDNP,"44,401",5.6,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,Others,,"562,988",32.8,,,,
LEGISLATIVE ELECTION OF SENATE,OUEST,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,FRITZ CARLOS LEBON,Union,"28,919",18.3,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,YVON BUISSERETH,Lavalas,"23,796",15.1,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,PIERRE SIMON GEORGES,Union,"21,792",13.8,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Fortuné Jean Gabriel,Union,"16,945",10.7,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Joseph Dit Benoit Laguerre,Alyans,"16,186",10.3,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Joseph Yvon Feuillé,Lavalas,"15,581",9.9,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Jean Claude Bernard,OPL,"15,422",9.8,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Jean Homère Cadet,Lespwa,"15,278",9.7,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Kennedy Berandoive,Lespwa,"15,217",9.6,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Jeannot Sanon,Fusion,"13,553",8.6,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,J. Ketnor Estinvil,Lavalas,"10,234",6.5,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Anthony Cyrion,MPH,"9,833",6.2,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Yves Jaboin Banatte,RDNP,"9,528",6,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Roussan Montes,OPL,"9,105",5.8,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Pierre Paul,OPL,"7,972",5,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Paul Henry Noel,GFDC,"7,885",5,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,Others,,"90,498",29,,,,
LEGISLATIVE ELECTION OF SENATE,SUD,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Joseph Lambert,Lespwa,"37,156",33,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Eugène Georges Frantz Large,Lespwa,"28,072",24.9,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Laurent Féquière Mathurin,Lespwa,"22,185",19.7,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Ricard Pierre,OPL,"14,560",12.9,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,François Annibal Coffy,Fusion,"13,552",12,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Méranie Charles Simon,GFDC,"12,970",11.5,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Phenix Paul,OPL,"8,675",7.7,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Jean Paul Fabre,Fusion,"7,118",6.3,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Maurissaint Irvelt Chéry,OPL,"6,657",5.9,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Camille Elie Armand,RDNP,"6,095",5.4,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Jocelyn L. Lamarque,Konba,"5,805",5.2,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,Others,,"61,090",27.3,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,,,,,,,,
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,,,,,,,Chamber of Deputies,http://psephos.adam-carr.net/countries/h/haiti/haiti20063.txt
LEGISLATIVE ELECTION OF SENATE,SUD EST,Feb-06,,,,,,,,
Elections to the Chamber of Deputies,SUD EST,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,SUD EST,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,DEPARTMENT OF ARTIBONITE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,DEPARTMENT OF ARTIBONITE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,CHAPELLE,FEBRUARY AND APRIL 2006,P Alix Macajou,LAAA,"2,127",44.6,,,,
Elections to the Chamber of Deputies,CHAPELLE,FEBRUARY AND APRIL 2006,Hermano Exinord,Fusion,"1,767",37.1,,,,
Elections to the Chamber of Deputies,CHAPELLE,FEBRUARY AND APRIL 2006,Victor Charidieu,OPL,586,12.3,,,,
Elections to the Chamber of Deputies,CHAPELLE,FEBRUARY AND APRIL 2006,Enrio Mondesir,Lavalas,219,4.6,,,,
Elections to the Chamber of Deputies,CHAPELLE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,DESDUNES,FEBRUARY AND APRIL 2006,Névaillant LOUIS-JEUNE,Fusion,"2,195",24.2,"4,161",52.2,,
Elections to the Chamber of Deputies,DESDUNES,FEBRUARY AND APRIL 2006,Baudelaire Noelsaint,OPL,"1,857",20.5,"3,808",47.8,,
Elections to the Chamber of Deputies,DESDUNES,FEBRUARY AND APRIL 2006,Isaac Ceus,LAAA,"1,806",19.9,,,,
